postal,X,Y,
18988,31319.9049,28087.8403,
18989,30144.9852,29410.585,
18990,30367.983,28737.588,
19100,NA,NA,
19191,NA,NA,
19392,NA,NA,
19393,NA,NA,
19394,NA,NA,
19597,NA,NA,
19799,NA,NA,
19894,NA,NA,
30000,NA,NA,
38083,NA,NA,
38683,NA,NA,
38687,NA,NA,
38935,NA,NA,
38981,30476.0309,30289.845,
38982,30833.5809,30653.2401,
38983,30853.0537,30932.2795,
38985,30745.3766,30764.6647,
38986,30938.567,30782.1728,
38987,30788.9561,30867.0921,
38988,30921.339,30846.9712,
38989,30854.5267,30883.9066,
39190,30999.0106,30654.4726,
39192,31003.1203,30563.4408,
39193,31088.1851,30607.0775,
39392,30551.4318,30409.6935,
39393,30375.4463,30530.1891,
39593,30660.4977,30654.9976,
39594,30708.346,30388.7804,
39595,30836.3521,30529.5627,
39596,30896.4005,30595.0389,
39597,31147.5497,30431.9402,
39696,NA,NA,
39797,30782.8867,30340.2236,
39799,30980.481,30347.9584,
39801,30867.663,30315.5489,
39802,30494.8753,30230.7993,
39803,31314.4874,30160.6782,
39804,NA,NA,
39805,30860.7406,30177.0002,
39999,NA,NA,
46816,NA,NA,
46821,NA,NA,
46902,NA,NA,
48421,29489.54,29621.1256,
48422,29569.1581,29578.3058,
48423,29509.1524,29550.1153,
48424,29747.8632,29427.6279,
48428,NA,NA,
48441,29776.5712,29481.7606,
48454,NA,NA,
48458,29723.9545,29491.2187,
48460,29723.9505,29491.1477,
48462,29723.9505,29491.1477,
48466,NA,NA,
48467,NA,NA,
48468,NA,NA,
48469,NA,NA,
48470,NA,NA,
48472,NA,NA,
48542,29981.4287,29381.1003,
48543,29960.9964,29421.8099,
48544,29948.0458,29412.6449,
48545,29942.6708,29395.5503,
48546,29917.4999,29356.8376,
48571,NA,NA,
48580,30010.572,29361.8204,
48581,29958.7916,29312.1383,
48582,29902.4388,29233.7244,
48583,30067.9405,29292.2771,
48616,29965.8309,29641.312,
48617,29983.3441,29540.4856,
48618,30019.3314,29596.3437,
48619,29946.01,29512.7808,
48620,NA,NA,
48621,30093.5899,29587.7907,
48622,30078.0997,29619.5986,
48623,30093.2749,29677.2636,
48624,29883.9218,29777.7637,
48625,30021.0652,29532.6731,
48648,NA,NA,
48658,29655.3964,29733.3082,
48659,29618.995,29688.9074,
48660,29580.828,29632.1797,
48662,NA,NA,
48671,NA,NA,
48692,29858.241,29712.245,
48693,29847.8977,29678.111,
48694,29846.8258,29659.2897,
48695,29841.0562,29643.5116,
48712,NA,NA,
48761,29672.2895,29556.2221,
48762,29672.8139,29557.9361,
48763,29672.8139,29557.9361,
48766,29672.8139,29557.9361,
48768,29672.8139,29557.9361,
48769,29672.8139,29557.9361,
48770,29672.8139,29557.9361,
48772,NA,NA,
48773,NA,NA,
48774,NA,NA,
48775,NA,NA,
48777,NA,NA,
48779,NA,NA,
48782,NA,NA,
48819,29750.3837,29832.9167,
48820,29745.9634,29836.134,
48821,29741.4595,29838.7444,
48822,29737.1805,29842.4657,
48823,29732.6724,29845.895,
48824,29728.3223,29849.2178,
48825,29723.7509,29852.7379,
48826,29718.6605,29855.5321,
48827,29701.6546,29857.5349,
48828,29701.6546,29857.5349,
48829,29678.2731,29873.2958,
48830,29673.0587,29875.3611,
48831,29667.963,29876.0906,
48832,29663.2656,29878.0385,
48833,29658.4026,29879.7591,
48940,29869.4634,29629.6017,
48941,29930.0865,29655.4016,
48942,29925.4033,29636.2872,
48943,29914.3125,29407.958,
48944,29915.674,29382.306,
48945,NA,NA,
48979,29935.7014,29597.341,
48980,29952.5136,29598.102,
49014,29713.2758,29962.2623,
49015,29710.384,29956.7713,
49017,29705.4167,29946.9088,
49018,29702.8019,29942.1149,
49019,29700.4193,29937.3051,
49020,29697.8373,29932.4214,
49021,29695.1928,29927.5236,
49022,29692.6734,29922.6611,
49023,29690.1349,29917.7895,
49024,29687.7151,29913.0596,
49026,29682.7803,29903.5857,
49027,29680.4177,29898.6877,
49028,29678.3143,29893.6049,
49030,29709.2208,29873.0095,
49031,29709.5865,29872.6848,
49032,29709.5865,29872.6848,
49033,29709.5865,29872.6848,
49034,29709.5865,29872.6848,
49035,29714.5304,29883.2374,
49036,29714.7797,29893.4668,
49037,29714.7797,29893.4668,
49142,29688.3676,29797.69,
49145,29613.8838,29791.0438,
49178,30193.1148,29850.6997,
49213,30299.6088,29798.2851,
49215,30256.6245,29941.2456,
49246,30002.7887,29409.3173,
49247,30030.0921,29391.8363,
49275,NA,NA,
49315,30061.5647,29528.6928,
49317,30086.7196,29561.6694,
49318,30139.7011,29617.2929,
49319,30156.1427,29679.8981,
49320,30168.4917,29723.0828,
49321,30186.8474,29511.6057,
49322,30181.7927,29495.4563,
49323,30254.7844,29438.8201,
49325,30184.7322,29575.5599,
49326,30252.389,29517.8392,
49327,30303.467,29674.1832,
49357,29738.6687,30062.0066,
49362,29743.7575,30040.7843,
49363,29744.5549,30035.9672,
49364,29745.745,30031.2246,
49365,29750.53,30027.1401,
49366,29746.5927,30021.1662,
49368,29746.8799,30011.2293,
49369,29746.8679,30006.2647,
49370,29746.8401,30001.1849,
49371,29746.8019,29996.0512,
49372,29746.7552,29991.285,
49373,29746.5885,29986.6124,
49374,29746.5359,29981.8617,
49376,29746.4074,29969.9271,
49377,29746.4074,29969.9271,
49378,29746.9832,29963.3313,
49379,29747.1885,29957.9099,
49381,29749.486,29947.6323,
49382,29750.6325,29942.5094,
49383,29751.7795,29937.3638,
49384,29753.1295,29931.9616,
49385,29754.7825,29926.4117,
49386,29756.7982,29921.3321,
49387,29758.3336,29916.215,
49388,29760.0856,29911.062,
49389,29761.9906,29906.1702,
49390,29763.7781,29901.3478,
49391,29765.6646,29896.535,
49392,29767.5498,29891.7107,
49393,29769.8488,29886.8963,
49394,29772.5443,29882.0779,
49395,29775.206,29877.1576,
49396,29777.891,29872.1462,
49397,29777.4655,29864.9719,
49398,29781.153,29858.7968,
49400,29796.5365,29842.8529,
49401,29799.7899,29837.7995,
49402,29803.2341,29832.8383,
49403,29806.6142,29827.6907,
49404,29809.9064,29822.6772,
49405,29813.1771,29817.7446,
49406,29816.3879,29813.0112,
49407,29824.5481,29796.786,
49409,NA,NA,
49411,29777.7684,29824.6499,
49412,29774.6655,29828.471,
49413,29772.4287,29832.5535,
49415,29763.9788,29843.1996,
49416,29760.9692,29846.8076,
49417,29758.0301,29850.395,
49418,29755.049,29854.0694,
49420,29749.2817,29861.2168,
49421,29746.6598,29864.8675,
49422,29743.9567,29868.4778,
49423,29741.148,29872.1486,
49426,29735.8499,29884.5986,
49427,29734.305,29888.8099,
49428,29732.8488,29893.1568,
49429,29731.4128,29897.2089,
49430,29730.1463,29901.3673,
49432,29727.4442,29909.3321,
49433,29725.7831,29917.9413,
49434,29714.9039,29967.8179,
49435,29715.5807,29973.2998,
49436,29715.8211,29979.2324,
49438,29717.1652,29991.0674,
49439,29718.0698,30008.4585,
49441,29718.522,30014.2917,
49478,NA,NA,
49479,29726.8607,29692.8164,
49480,29671.0613,29638.7705,
49481,29739.0108,29576.0862,
49482,29701.0446,29577.3532,
49483,29815.5454,29524.1934,
49493,NA,NA,
49513,29754.0219,29719.4388,
49514,29819.1716,29700.7808,
49515,29733.0094,29767.6746,
49560,29616.702,29487.3,
49561,29619.8466,29544.6631,
49563,29619.8466,29544.6631,
49565,29619.8466,29544.6631,
49567,29619.8466,29544.6631,
49568,29619.8466,29544.6631,
49570,29650.0328,29545.4639,
49704,29914.3724,29428.9357,
49705,29909.5983,29499.9808,
49710,29796.4209,29398.3101,
49711,29790.3291,29380.8887,
49712,29842.438,29471.8198,
49745,29793.1533,29848.3332,
49747,29785.4878,29865.4052,
49748,29788.8836,29867.936,
49782,NA,NA,
49812,NA,NA,
49817,29851.9732,29813.7904,
49818,29839.336,29813.3393,
49819,29837.88,29829.0651,
49820,29834.2246,29833.7586,
